SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,YEAR,VALUE
Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2035,0.35
Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2040,0.477
Stated Policies Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2050,0.528
Announced Pledges Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2023,0.013
Announced Pledges Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2030,0.399
Announced Pledges Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2035,3.651
Announced Pledges Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2040,6.219
Announced Pledges Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2050,10.07
Net Zero Emissions by 2050 Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2023,0.013
Net Zero Emissions by 2050 Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2030,2.04
Net Zero Emissions by 2050 Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2035,6.613
Net Zero Emissions by 2050 Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2040,9.144
Net Zero Emissions by 2050 Scenario,Energy,Coal: with CCUS,Total energy supply,EJ,2050,11.238
Stated Policies Scenario,Energy,Total,Power sector inputs,EJ,2010,199.942
Stated Policies Scenario,Energy,Total,Power sector inputs,EJ,2022,248.678
Stated Policies Scenario,Energy,Total,Power sector inputs,EJ,2023,254.913
Stated Policies Scenario,Energy,Total,Power sector inputs,EJ,2030,275.319
Stated Policies Scenario,Energy,Total,Power sector inputs,EJ,2035,285.846
Stated Policies Scenario,Energy,Total,Power sector inputs,EJ,2040,301.553
Stated Policies Scenario,Energy,Total,Power sector inputs,EJ,2050,334.232
Announced Pledges Scenario,Energy,Total,Power sector inputs,EJ,2023,254.913
Announced Pledges Scenario,Energy,Total,Power sector inputs,EJ,2030,270.749
Announced Pledges Scenario,Energy,Total,Power sector inputs,EJ,2035,284.968
Announced Pledges Scenario,Energy,Total,Power sector inputs,EJ,2040,314.02
Announced Pledges Scenario,Energy,Total,Power sector inputs,EJ,2050,377.779
